Oráculos,Tarot,Os70,40 servidores,Cigano,Cartas Sakura
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1225.png,https://i.imgur.com/cdBMtBg.png,https://caotize.se/wp-content/uploads/the-eye-o-olho-os-quarenta-servidores/13-Arte-The-Eye-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/014.png,https://static.wikia.nocookie.net/ccs/images/2/21/SakuraChange.jpg/revision/latest/scale-to-width-down/150?cb=20160527123515
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1241.png,https://i.imgur.com/HAroyw9.png,https://caotize.se/wp-content/uploads/the-father-o-pai-os-quarenta-servidores/14-Arte-The-Father-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/015.png,https://static.wikia.nocookie.net/ccs/images/9/92/SakuraWave.jpg/revision/latest/scale-to-width-down/150?cb=20160527124821
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1257.png,https://i.imgur.com/IxkuoIj.png,https://caotize.se/wp-content/uploads/the-fixer-o-conserta-tudo-os-quarenta-servidores/15-Arte-The-Fixer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/016.png,https://static.wikia.nocookie.net/ccs/images/0/00/SakuraDash.jpg/revision/latest/scale-to-width-down/150?cb=20160527130319
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1273.png,https://i.imgur.com/KvpgcQF.png,https://caotize.se/wp-content/uploads/the-fortunate-a-afortunada-os-quarenta-servidores/16-Arte-The-Fortunate-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/017.png,https://static.wikia.nocookie.net/ccs/images/8/8a/SakuraWindy.jpg/revision/latest/scale-to-width-down/150?cb=20160527124333
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1289.png,https://i.imgur.com/8uePJgC.png,https://caotize.se/wp-content/uploads/the-gate-keeper-o-porteiro-os-quarenta-servidores/17-Arte-The-Gate-Keeper-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/018.png,https://static.wikia.nocookie.net/ccs/images/9/9f/SakuraLoop.jpg/revision/latest/scale-to-width-down/150?cb=20160527124600
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1305.png,https://i.imgur.com/Ynh13bs.png,https://caotize.se/wp-content/uploads/the-giver-o-doador-os-quarenta-servidores/18-Arte-The-Giver-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/019.png,https://static.wikia.nocookie.net/ccs/images/6/6f/SakuraFlower.jpg/revision/latest/scale-to-width-down/150?cb=20160606171109
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1321.png,https://i.imgur.com/lU1ohqP.png,https://caotize.se/wp-content/uploads/the-guru-o-guru-os-quarenta-servidores/19-Arte-The-Guru-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/020.png,https://static.wikia.nocookie.net/ccs/images/3/30/SakuraBig.jpg/revision/latest/scale-to-width-down/150?cb=20160527123116
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1337.png,https://i.imgur.com/GSWQdNa.png,https://caotize.se/wp-content/uploads/the-healer-a-curadora-os-quarenta-servidores/20-Arte-The-Healer-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/021.png,https://static.wikia.nocookie.net/ccs/images/d/db/SakuraLittle.jpg/revision/latest/scale-to-width-down/150?cb=20160527130025
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1369.png,https://i.imgur.com/uO7aqrI.png,https://caotize.se/wp-content/uploads/the-idea-a-ideia-os-quarenta-servidores/21-Arte-The-Idea-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/022.png,https://static.wikia.nocookie.net/ccs/images/f/fa/SakuraSleep.jpg/revision/latest/scale-to-width-down/150?cb=20160527130622
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1385.png,https://i.imgur.com/gC99Yqd.png,https://caotize.se/wp-content/uploads/the-levitator-o-levitador-os-quarenta-servidores/22-Arte-The-Levitator-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/023.png,https://static.wikia.nocookie.net/ccs/images/6/61/SakuraFloat.jpg/revision/latest/scale-to-width-down/150?cb=20160527125812
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1401.png,https://i.imgur.com/hLgn5LK.png,https://caotize.se/wp-content/uploads/the-librarian-a-bibliotecaria-os-quarenta-servidores/23-Arte-The-Librarian-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/024.png,https://static.wikia.nocookie.net/ccs/images/0/02/SakuraBubbles.jpg/revision/latest/scale-to-width-down/150?cb=20180819110204
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1417.png,https://i.imgur.com/8SdNxgU.png,https://caotize.se/wp-content/uploads/the-lovers-os-amantes-os-quarenta-servidores/24-Arte-The-Lovers-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/025.png,https://static.wikia.nocookie.net/ccs/images/1/1b/SakuraShield.jpg/revision/latest/scale-to-width-down/150?cb=20160527125852
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1433.png,https://i.imgur.com/rb4M2iQ.png,https://caotize.se/wp-content/uploads/the-master-o-mestre-os-quarenta-servidores/25-Arte-The-Master-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/026.png,https://static.wikia.nocookie.net/ccs/images/f/f5/SakuraShadow.jpg/revision/latest/scale-to-width-down/150?cb=20160606172513
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1449.png,https://i.imgur.com/BHNeEPv.png,https://caotize.se/wp-content/uploads/the-media-a-midia-os-quarenta-servidores/26-Arte-The-Media-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/027.png,https://static.wikia.nocookie.net/ccs/images/a/a8/SakuraFreeze.jpg/revision/latest/scale-to-width-down/150?cb=20160527124659
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1465.png,https://i.imgur.com/lbwbXrn.png,https://caotize.se/wp-content/uploads/the-messenger-o-mensageiro-os-quarenta-servidores/27-Arte-The-Messenger-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/028.png,https://static.wikia.nocookie.net/ccs/images/a/ab/SakuraMist.jpg/revision/latest/scale-to-width-down/150?cb=20160527125451
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1481.png,https://i.imgur.com/lIvHVHh.png,https://caotize.se/wp-content/uploads/the-monk-o-monge-os-quarenta-servidores/28-Arte-The-Monk-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/029.png,https://static.wikia.nocookie.net/ccs/images/f/f5/SakuraDream.jpg/revision/latest/scale-to-width-down/150?cb=20160527124438
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1497.png,https://i.imgur.com/T63ytwG.png,https://caotize.se/wp-content/uploads/the-moon-a-lua-os-quarenta-servidores/29-Arte-The-Moon-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/030.png,https://static.wikia.nocookie.net/ccs/images/1/1c/SakuraWatery.jpg/revision/latest/scale-to-width-down/150?cb=20180819105454
,https://raw.githubusercontent.com/nevoheiro/tarot/main/tarot_%23g1529.png,https://i.imgur.com/Bfptb9N.png,https://caotize.se/wp-content/uploads/the-mother-a-mae-os-quarenta-servidores/30-Arte-The-Mother-40-Servidores-Caotize-se-Magia-do-Caos-200x333.jpg,https://raw.githubusercontent.com/skewoof/baralho-cigano-imagens/main/images/cigano/031.png,https://static.wikia.nocookie.net/ccs/images/f/f1/SakuraTime.jpg/revision/latest/scale-to-width-down/150?cb=20160527130641
